,id_,hasBoth,phenotype,pearson
0,1,True,1,0.6016822556525366
1,2,True,1,0.7975753077217489
2,3,True,1,0.8357517313400278
3,4,True,1,0.7132684151987929
4,5,True,1,0.8650871576072435
5,6,True,1,0.6336529085221304
6,7,True,1,0.5812543474399262
7,8,True,1,0.6112920126325493
8,9,True,1,0.8549401340390027
9,10,True,1,0.8361891331912661
10,11,False,2,-0.4165311049490661
11,12,False,2,0.38843941000723015
12,13,False,2,-0.2764442062913383
13,14,False,2,0.6505730950412196
14,15,False,2,-0.2065945447396285
15,16,False,3,-0.49424862138493586
16,17,False,3,0.07234594983280286
17,18,False,3,-0.3151937383741175
18,19,False,3,0.19633998876191477
19,20,False,3,0.24558877050883565
20,21,False,3,0.3225754117047514
21,22,False,3,0.25251203523677207
